United States life table functions and actuarial functions at 2.3 percent interest
based on the Alternative 2 mortality probabilities used in the 2024 Trustees Report.
Females

Birth,,,,,,,o,,,,,..,    ..    (12)
Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
1900,0,0.119694,100000,11969,92047,5827610,58.28,100000,36174,0.3617,2838853,28.3885,335.16
1900,1,0.030606,88031,2694,86683,5735563,65.15,86051,24474,0.2844,2738853,31.8281,376.44
1900,2,0.014885,85336,1270,84701,5648879,66.20,81542,21900,0.2686,2652801,32.5328,384.89
1900,3,0.010105,84066,850,83641,5564178,66.19,78523,20713,0.2638,2571259,32.7455,387.45
1900,4,0.008221,83217,684,82875,5480537,65.86,75981,19938,0.2624,2492737,32.8072,388.19
1900,5,0.005851,82532,483,82291,5397662,65.40,73663,19327,0.2624,2416755,32.8085,388.20
1900,6,0.004284,82050,351,81874,5315371,64.78,71585,18906,0.2641,2343093,32.7316,387.28
1900,7,0.003063,81698,250,81573,5233497,64.06,69676,18606,0.2670,2271507,32.6011,385.71
1900,8,0.002317,81448,189,81354,5151924,63.25,67901,18397,0.2709,2201832,32.4272,383.63
1900,9,0.001859,81259,151,81184,5070571,62.40,66220,18243,0.2755,2133931,32.2247,381.20
1900,10,0.002028,81108,164,81026,4989387,61.52,64611,18123,0.2805,2067710,32.0023,378.53
1900,11,0.001975,80944,160,80864,4908361,60.64,63031,17995,0.2855,2003099,31.7798,375.86
1900,12,0.001947,80784,157,80705,4827497,59.76,61492,17873,0.2907,1940069,31.5501,373.10
1900,13,0.002275,80627,183,80535,4746792,58.87,59992,17756,0.2960,1878577,31.3137,370.26
1900,14,0.002329,80443,187,80349,4666257,58.01,58510,17623,0.3012,1818585,31.0816,367.48
1900,15,0.002558,80256,205,80153,4585908,57.14,57061,17490,0.3065,1760075,30.8453,364.64
1900,16,0.003039,80050,243,79929,4505755,56.29,55636,17347,0.3118,1703013,30.6101,361.82
1900,17,0.003640,79807,290,79662,4425826,55.46,54220,17182,0.3169,1647378,30.3834,359.10
1900,18,0.007850,79517,624,79205,4346164,54.66,52808,16989,0.3217,1593158,30.1691,356.53
1900,19,0.005175,78893,408,78688,4266959,54.09,51215,16584,0.3238,1540350,30.0760,355.41
1900,20,0.005348,78484,420,78274,4188271,53.36,49805,16325,0.3278,1489135,29.8995,353.29
1900,21,0.004577,78065,357,77886,4109996,52.65,48425,16064,0.3317,1439331,29.7232,351.18
1900,22,0.004674,77707,363,77526,4032110,51.89,47119,15848,0.3363,1390906,29.5189,348.73
1900,23,0.004788,77344,370,77159,3954585,51.13,45845,15632,0.3410,1343787,29.3118,346.24
1900,24,0.004711,76974,363,76792,3877426,50.37,44599,15418,0.3457,1297942,29.1024,343.73
1900,25,0.004765,76611,365,76429,3800634,49.61,43391,15212,0.3506,1253343,28.8848,341.12
1900,26,0.004865,76246,371,76061,3724205,48.84,42213,15010,0.3556,1209952,28.6627,338.45
1900,27,0.004577,75875,347,75701,3648144,48.08,41064,14809,0.3606,1167739,28.4373,335.75
1900,28,0.004717,75528,356,75350,3572443,47.30,39957,14626,0.3660,1126675,28.1974,332.87
1900,29,0.004758,75172,358,74993,3497093,46.52,38874,14442,0.3715,1086718,27.9548,329.96
1900,30,0.004446,74814,333,74648,3422101,45.74,37819,14261,0.3771,1047844,27.7066,326.98
1900,31,0.004473,74481,333,74315,3347453,44.94,36805,14096,0.3830,1010025,27.4429,323.81
1900,32,0.004323,74148,321,73988,3273138,44.14,35816,13935,0.3891,973220,27.1726,320.57
1900,33,0.004259,73828,314,73670,3199150,43.33,34860,13784,0.3954,937404,26.8908,317.19
1900,34,0.004365,73513,321,73353,3125480,42.52,33931,13639,0.4020,902544,26.5996,313.70
1900,35,0.004580,73192,335,73025,3052127,41.70,33023,13494,0.4086,868614,26.3032,310.14
